album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
Cobra Clutch,1,365496,365496.0,49.0,single,2017-02-28,day,False,1,3,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Fly,1,20493,20493.0,45.0,single,2021-02-26,day,False,1,2,49.0,49,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Anarchy,1,594499,594499.0,69.0,album,2019-09-20,day,False,9,22,41.66666666666666,60,0,0,0.0,179,True,True,True,False,True,True,True,False,False,True
Virgil Discount,3,7693710,2564569.9999999995,48.666666666666664,single,2020-01-07,day,False,1,2,38.0,38,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Harder Than Hard,1,12045451,12045451.0,89.0,album,2017-08-25,day,False,12,35,42.99999999999999,61,5,82,16.4,179,True,True,True,False,True,True,True,False,False,True
This Is Not a Test!,1,2076643,2076643.0,69.0,album,2003-11-01,day,False,16,47,25.4375,58,11,82,6.2727272727272725,170,True,True,True,False,True,True,True,False,False,True
The Resurrection,1,690075,690075.0,54.0,album,1996-04-02,day,False,15,52,24.866666666666667,50,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Hubris,1,1859,1859.0,18.0,single,2022-08-27,day,False,6,16,21.166666666666668,31,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
backwards,2,1161893,580946.5,64.0,single,2020-09-18,day,False,1,2,32.0,32,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
"No Seeds, No Stems, Just Hits",1,1642710,1642710.0,0.0,compilation,2010-01-01,day,False,14,45,0.0,0,20,82,3.5,0,False,False,False,False,False,False,False,False,False,False
Murphy's Law,1,177246,177246.0,54.0,album,2003-01-01,day,False,19,59,17.263157894736842,64,22,84,1.3181818181818181,81,True,True,True,False,True,True,False,False,False,True
Ascension (feat. Vince Staples),1,9487728,9487728.0,79.0,single,2017-03-22,day,False,1,2,37.0,37,1,67,67.0,183,True,True,True,False,True,True,True,False,False,True
One Day It'll All Make Sense,1,842796,842796.0,60.0,album,1997-09-30,day,False,17,62,24.705882352941174,61,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Grizzly City 3,1,48945,48945.0,38.0,album,2012-08-21,day,False,18,48,1.7222222222222225,12,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Playlist: The Very Best Of KRS-One,1,561707,561707.0,53.0,compilation,2010,year,False,14,56,8.785714285714286,23,8,40,5.0,1,True,False,False,False,False,False,False,False,False,False
Hold Me Down,1,144216,144216.0,46.0,single,2017-06-29,day,False,1,3,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Fried Rice (feat. JID),1,475371,475371.0,65.0,single,2019-06-05,day,False,1,2,0.0,0,1,77,77.0,0,False,False,False,False,False,False,False,False,False,False
Mos Def & Talib Kweli Are Black Star,1,369906,369906.0,50.0,album,1998-09-29,day,False,13,45,0.0,0,7,60,1.1428571428571428,0,False,False,False,False,False,False,False,False,False,False
Meet The Woo 2 (Deluxe),1,11407987,11407987.0,82.0,album,2020-02-12,day,False,16,37,51.5,61,8,83,8.75,181,True,True,True,False,True,True,True,False,False,True
Lil Pump,1,7929854,7929854.0,65.0,album,2017-10-06,day,False,15,32,43.46666666666667,63,8,77,9.5,183,True,True,True,False,True,True,True,False,False,True
soft thing,1,35848,35848.0,47.0,album,2021-06-24,day,False,8,21,36.875,56,2,59,24.5,183,True,True,True,False,True,True,True,False,False,True
Barz Simpson (feat. MF DOOM & Jay Electronica),2,11666,5833.0,36.5,single,2022-08-15,day,False,1,3,40.0,40,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Evil Genius,1,4526963,4526963.0,76.0,album,2018-12-07,day,False,18,41,38.33333333333332,70,11,91,5.909090909090909,183,True,True,True,False,True,True,True,False,False,True
"Arcstrumentals, Vol. 2",1,120977,120977.0,56.0,album,2018-02-16,day,False,21,49,18.76190476190476,42,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Black Friday,1,1140,1140.0,16.0,single,2021-12-12,day,False,1,6,34.0,34,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
T.I. vs. T.I.P.,1,4384861,4384861.0,72.0,album,2007-06-12,day,False,20,67,0.0,0,1,15,15.0,0,False,False,False,False,False,False,False,False,False,False
No Worries - Single,1,44667,44667.0,45.0,single,2011-11-22,day,False,1,2,5.0,5,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Restless,1,1636430,1636430.0,65.0,album,2000-12-04,day,False,16,50,13.8125,32,15,90,3.066666666666667,144,False,True,False,False,False,True,True,False,False,False
T R A P S O U L,1,6141210,6141210.0,78.0,album,2015-10-02,day,False,14,40,59.857142857142854,82,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
MY STORY,1,144462,144462.0,63.0,single,2021-03-03,day,False,1,2,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Choices,2,4242,2121.0,19.5,single,2019-01-25,day,False,1,2,34.0,34,0,0,0.0,175,True,True,True,False,True,True,True,False,False,True
1 Step Ahead,1,3584,3584.0,26.0,single,2017-09-21,day,False,1,2,32.0,32,1,20,20.0,183,True,True,True,False,True,True,True,False,False,True
Nice For What,1,68612899,68612899.0,96.0,single,2018-04-06,day,False,1,3,1.0,1,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
Cat Daddy - Single,1,31359,31359.0,28.0,single,2011-02-16,day,False,1,3,46.0,46,0,0,0.0,180,True,True,True,False,True,True,True,False,False,True
Bird's Eye View,1,14,14.0,0.0,single,2013-04-16,day,False,1,3,0.0,0,4,73,14.75,0,False,False,False,False,False,False,False,False,False,False
Gravitas,1,542442,542442.0,53.0,album,2013-12-15,day,False,11,37,0.0,0,10,69,6.9,0,False,False,False,False,False,False,False,False,False,False
The Blueprint 2 The Gift & The Curse (Explicit Version),1,7733681,7733681.0,82.0,album,2002-11-12,day,False,25,93,0.0,0,24,89,1.8333333333333333,0,False,False,False,False,False,False,False,False,False,False
Biz's Baddest Beats: The Best of Biz Markie,1,341987,341987.0,48.0,compilation,1994-08-07,day,False,15,60,24.8,60,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
Live From The Underground,1,883004,883004.0,57.0,album,2012-01-01,day,False,16,51,23.0,40,10,75,0.5,157,True,True,True,False,True,True,True,False,False,True
Chasing Summer,1,746191,746191.0,63.0,album,2019-08-30,day,False,14,40,51.07142857142857,64,7,87,9.428571428571429,183,True,True,True,False,True,True,True,False,False,True
Everybody Wants A Thug,1,308807,308807.0,57.0,album,2010-07-22,day,False,14,49,0.0,0,8,76,0.0,0,False,False,False,False,False,False,False,False,False,False
