,album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
0,BBO,2,29680,14840.0,57.5,album,2022-09-15,day,False,11,22,57.45454545454545,62,5,66,9.6,183,True,True,True,False,True,True,True,False,False,True
1,Man On The Moon: The End Of Day,1,6122411,6122411.0,81.0,album,2009-09-15,day,False,15,51,49.06666666666666,73,7,90,6.428571428571429,3,True,True,False,False,False,False,False,False,False,True
2,The Hour Of Reprisal,1,102976,102976.0,49.0,album,2008-09-16,day,False,18,51,0.0,0,14,68,4.857142857142857,0,False,False,False,False,False,False,False,False,False,False
3,The People's Champ,1,125137,125137.0,47.0,single,2013-02-20,day,False,1,3,11.0,11,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
4,The Hits Collection Volume One (Deluxe),1,7728824,7728824.0,82.0,compilation,2010-11-22,day,False,19,62,35.36842105263158,53,7,90,10.714285714285714,166,True,True,True,False,True,True,False,False,False,True
5,Nyc Bitche$,1,122963,122963.0,32.0,single,2013-04-04,day,False,1,3,12.0,12,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
6,Goblin,1,9841644,9841644.0,83.0,album,2011-05-09,day,False,18,74,0.0,0,10,82,4.6,0,False,False,False,False,False,False,False,False,False,False
7,CupaTea,1,3044,3044.0,23.0,album,2010-11-11,day,False,21,67,11.476190476190478,37,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
8,Ill Mind of Hopsin 5 - Single,1,2358022,2358022.0,61.0,single,2012-07-17,day,False,1,4,58.0,58,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
9,Ill Mind of Hopsin 4,1,2358022,2358022.0,61.0,single,2011-07-18,day,False,1,4,44.0,44,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
10,Notes From The Underground,1,2179314,2179314.0,68.0,album,2012-01-01,day,False,11,33,48.81818181818181,63,0,0,0.0,180,True,True,True,False,True,True,True,False,False,True
11,American Tragedy (Deluxe Edition),1,2179314,2179314.0,68.0,album,2011,year,False,18,57,47.833333333333336,65,0,0,0.0,179,True,True,True,False,True,True,True,False,False,True
12,Wolf,1,9841644,9841644.0,83.0,album,2013-04-01,day,False,18,61,55.72222222222222,72,18,82,3.555555555555556,183,True,True,True,False,True,True,True,False,False,True
13,Floats My Boat,1,138312,138312.0,48.0,single,2012-06-25,day,False,1,3,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
14,Doris,1,1881919,1881919.0,67.0,album,2013-08-16,day,False,15,37,49.13333333333333,61,12,83,4.5,183,True,True,True,False,True,True,True,False,False,True
15,Endgame,1,2546088,2546088.0,69.0,album,2011-01-01,day,False,12,37,48.91666666666668,67,0,0,0.0,180,True,True,True,False,True,True,True,False,False,True
16,The Man With The Iron Fists,1,1639209,1639209.0,0.0,compilation,2012-11-07,day,False,15,52,5.4,16,15,90,5.4,181,False,False,True,False,True,True,True,False,False,True
17,Illmatic XX,1,3023692,3023692.0,71.0,album,2014-04-15,day,False,20,75,31.9,58,17,60,0.3529411764705882,183,True,True,True,False,True,True,True,False,False,True
18,Continue (Spotify Version),1,75762,75762.0,45.0,album,2013-04-23,day,False,17,52,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
19,Six Degrees,2,1387263,693631.5,63.5,single,2014-06-20,day,False,2,4,0.0,0,1,58,58.0,0,False,False,False,False,False,False,False,False,False,False
20,2001,1,8281199,8281199.0,78.0,album,1999-11-16,day,False,23,57,55.91304347826088,83,50,90,0.0,182,True,True,True,False,True,True,True,False,False,False
21,The Predator,1,6216369,6216369.0,73.0,album,1992-11-17,day,False,16,50,41.0,81,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
22,Doggystyle,1,8877787,8877787.0,82.0,album,1993,year,False,13,46,0.0769230769230769,1,14,75,0.0,0,False,False,False,False,False,False,False,False,False,False
23,1999,1,2787059,2787059.0,73.0,album,2012-06-12,day,False,15,53,0.0,0,7,52,5.285714285714286,0,False,False,False,False,False,False,False,False,False,False
24,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1,2521763,2521763.0,66.0,album,1993-11-09,day,False,15,63,55.99999999999999,74,63,70,0.8888888888888888,183,True,True,True,False,True,True,True,False,False,True
25,2014 Forest Hills Drive,1,18276353,18276353.0,84.0,album,2014-12-09,day,False,13,58,2.923076923076923,19,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
26,These Things Happen,1,5106901,5106901.0,74.0,album,2014-06-20,day,False,16,49,47.625,69,10,78,4.3,181,True,True,True,False,True,True,True,False,False,True
27,Man On The Moon II: The Legend Of Mr. Rager,1,6122411,6122411.0,81.0,album,2010-11-09,day,False,17,53,54.47058823529413,75,9,90,3.888888888888889,182,True,True,True,False,True,True,True,False,False,True
28,679 (feat. Remy Boyz),1,4375528,4375528.0,68.0,single,2015-06-29,day,False,1,3,73.0,73,1,55,55.0,173,True,True,True,False,True,False,True,False,False,True
29,Mr. Wonderful,1,729939,729939.0,61.0,album,2015-03-23,day,False,13,43,41.15384615384615,61,7,73,4.0,116,True,True,True,False,True,True,False,False,False,True
30,Evermore: The Art Of Duality,1,365390,365390.0,49.0,album,2015-09-25,day,False,15,53,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
31,Scrublife,1,75762,75762.0,45.0,album,2011-03-15,day,False,14,46,22.28571428571429,37,3,43,1.0,183,True,True,True,False,True,True,True,False,False,True
32,Ready to Die (The Remaster),1,8202385,8202385.0,76.0,album,1994-09-13,day,False,19,67,56.89473684210525,79,1,70,70.0,181,True,True,True,False,True,True,True,False,False,True
33,"I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt",1,1881919,1881919.0,67.0,album,2015-03-23,day,False,10,24,45.8,51,4,67,16.75,183,True,True,True,False,True,True,True,False,False,True
34,Life After Death (Deluxe Version),1,8202385,8202385.0,76.0,album,1997-03-04,day,False,24,96,0.0,0,10,82,1.6,0,False,False,False,False,False,False,False,False,False,False
35,Handshakes with Snakes,1,84378,84378.0,48.0,album,2016-06-10,day,False,13,35,15.615384615384617,24,16,64,2.625,183,True,True,True,False,True,True,True,False,False,True
36,Enter the Circle,1,128802,128802.0,48.0,album,2010-04-30,day,False,7,15,0.0,0,2,5,2.5,0,False,False,False,False,False,False,False,False,False,False
37,Ready to Die (The Remaster; 2015 Remaster),1,8202385,8202385.0,76.0,album,1994-09-13,day,False,18,64,36.61111111111112,68,0,0,0.0,170,True,True,True,False,True,True,False,False,False,True
38,iSpy (feat. Lil Yachty),1,1023344,1023344.0,64.0,single,2016-12-02,day,False,1,4,71.0,71,1,77,77.0,183,True,True,True,False,True,True,True,False,False,True
39,Doubt It,1,1023344,1023344.0,64.0,single,2016-08-19,day,False,1,3,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
40,Uber Everywhere,1,1011018,1011018.0,60.0,single,2016-02-26,day,False,1,2,58.0,58,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
41,Because The Internet,1,9965064,9965064.0,77.0,album,2013-01-01,day,False,19,47,0.0,0,3,76,20.0,0,False,False,False,False,False,False,False,False,False,False
42,Spooky Language EP,1,32141,32141.0,41.0,single,2012-05-08,day,False,7,20,0.0,0,1,45,45.0,0,False,False,False,False,False,False,False,False,False,False
43,Old Boy Jon,1,128389,128389.0,43.0,album,2013-02-18,day,False,15,36,0.0,0,7,46,0.7142857142857143,0,False,False,False,False,False,False,False,False,False,False
44,Bobby Tarantino,1,5805600,5805600.0,75.0,album,2016-07-01,day,False,11,26,46.54545454545456,61,1,71,71.0,180,True,True,True,False,True,True,True,False,False,True
45,Under Pressure,1,5805600,5805600.0,75.0,album,2014-10-21,day,False,12,51,38.583333333333336,42,0,0,0.0,168,True,True,True,False,True,True,False,False,False,True
46,The Incredible True Story,1,5805600,5805600.0,75.0,album,2015-11-13,day,False,18,52,46.16666666666668,57,4,53,10.5,182,True,True,True,False,True,True,True,False,False,True
47,Starboy,1,52111786,52111786.0,93.0,album,2016-11-25,day,False,18,58,71.61111111111111,89,5,88,15.8,183,True,True,True,False,True,True,True,False,False,True
48,I'm Sorry,1,1966460,1966460.0,69.0,single,2016-08-05,day,False,1,5,39.0,39,0,0,0.0,169,True,True,True,False,True,True,True,False,False,True
49,Neon Icon,1,173526,173526.0,47.0,album,2014-06-24,day,False,15,41,24.33333333333333,38,6,82,9.666666666666666,1,True,False,False,False,False,False,False,False,False,False
50,Beautiful Loser,1,1023344,1023344.0,64.0,album,2013-08-05,day,False,16,55,0.0,0,3,15,4.666666666666667,0,False,False,False,False,False,False,False,False,False,False
51,Manifest,1,4584044,4584044.0,75.0,single,2016-04-05,day,False,1,2,54.0,54,0,0,0.0,169,True,True,True,False,True,True,True,False,False,True
52,The OF Tape Vol. 2,1,982959,982959.0,53.0,album,2012-03-16,day,False,18,57,40.888888888888886,63,32,83,1.03125,183,True,True,True,False,True,True,True,False,False,True
53,Stoney (Deluxe),1,38671957,38671957.0,87.0,album,2016-12-09,day,False,18,58,65.33333333333334,81,4,89,18.75,183,True,True,True,False,True,True,True,False,False,True
54,Candy Paint,1,38671957,38671957.0,87.0,single,2017-10-20,day,False,1,3,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
55,O.N.I.F.C. (Deluxe),1,10772259,10772259.0,81.0,album,2012-12-04,day,False,20,73,40.5,61,14,93,3.7142857142857135,138,True,True,True,False,False,True,True,False,False,True
56,Flower Boy,1,9841644,9841644.0,83.0,album,2017-07-21,day,False,14,40,65.42857142857142,84,11,84,7.636363636363637,171,True,True,True,False,True,True,False,False,False,True
57,The Infamous,1,1692648,1692648.0,65.0,album,1995-04-25,day,False,16,58,48.6875,76,9,71,5.111111111111111,183,True,True,True,False,True,True,True,False,False,True
58,Psycho (feat. Ty Dolla $ign),1,38671957,38671957.0,87.0,single,2018-02-23,day,False,1,3,0.0,0,1,80,80.0,0,False,False,False,False,False,False,False,False,False,False
59,If You're Reading This It's Too Late,1,68545753,68545753.0,96.0,album,2015-02-12,day,False,17,60,61.76470588235295,73,4,87,21.75,183,True,True,True,False,True,True,True,False,False,True
60,Continue,1,75762,75762.0,45.0,album,2013-01-15,day,False,18,55,21.0,40,2,31,10.5,183,True,True,True,False,True,True,True,False,False,True
61,Strictly 4 My N.I.G.G.A.Z...,1,13873094,13873094.0,78.0,album,1993-02-16,day,False,16,56,41.375,70,8,73,2.25,169,True,True,True,False,True,True,False,False,False,True
62,American Boy,1,70538,70538.0,47.0,album,2016-12-03,day,False,8,21,0.0,0,4,81,12.25,0,False,False,False,False,False,False,False,False,False,False
63,Perfect Timing,2,6222043,3111021.5,77.0,album,2017-07-21,day,False,15,48,49.46666666666666,65,7,91,12.0,178,True,True,True,False,True,True,True,False,False,True
64,Greatest Hits,1,13873094,13873094.0,78.0,compilation,1998-01-01,day,False,25,101,55.56,80,17,82,2.5294117647058822,183,True,True,True,False,True,True,True,False,False,True
65,The Best of 2Pac,1,13873094,13873094.0,78.0,compilation,2007-12-03,day,False,11,45,42.90909090909091,65,6,82,9.666666666666666,183,True,True,True,False,True,True,True,False,False,True
66,Resurrection (Music From And Inspired By The Motion Picture),1,13873094,13873094.0,78.0,album,2003-01-01,day,False,14,48,0.0,0,8,90,10.25,0,False,False,False,False,False,False,False,False,False,False
67,Life After Death (2014 Remastered Edition),1,8202385,8202385.0,76.0,album,1997-03-04,day,False,24,96,51.25000000000001,80,11,82,2.0,178,True,True,True,False,True,True,True,False,False,True
68,Bobby Tarantino II,1,5805600,5805600.0,75.0,album,2018-03-09,day,False,13,38,52.92307692307692,67,5,82,16.4,178,True,True,True,False,True,True,True,False,False,True
69,beerbongs & bentleys,1,38671957,38671957.0,87.0,album,2018-04-27,day,False,18,54,67.83333333333333,84,6,91,12.333333333333334,178,True,True,True,False,True,True,True,False,False,True
70,Yeah Right,1,7252243,7252243.0,85.0,single,2018-05-08,day,False,1,2,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
71,In Tongues (Deluxe),1,7252243,7252243.0,85.0,album,2018-02-14,day,False,16,47,55.6875,78,8,53,6.375,180,True,True,True,False,True,True,True,False,False,True
72,Life of a Dark Rose,1,4852369,4852369.0,69.0,album,2017-12-12,day,False,14,35,54.642857142857146,73,2,58,29.0,183,True,True,True,False,True,True,True,False,False,True
73,"Come Over When You're Sober, Pt. 1",1,9150596,9150596.0,81.0,album,2017-08-15,day,False,7,19,64.71428571428571,73,1,69,69.0,0,False,False,False,False,False,False,False,False,False,False
74,beamer boy,2,9166959,4583479.5,70.5,single,2017-06-08,day,False,1,3,63.0,63,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
75,Mando (feat. Mozzy),1,109985,109985.0,50.0,single,2017-11-17,day,False,1,2,37.0,37,1,65,65.0,183,True,True,True,False,True,True,True,False,False,True
76,Her Loss,2,80509812,40254906.0,93.5,album,2022-11-04,day,False,16,51,85.375,91,1,87,87.0,182,True,True,True,False,True,True,True,False,False,True
77,Just Wanna Rock,1,13981350,13981350.0,84.0,single,2022-10-17,day,False,1,2,86.0,86,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
78,It's Only Me,1,12028254,12028254.0,89.0,album,2022-10-14,day,False,23,53,72.78260869565217,82,8,86,8.75,182,True,True,True,False,True,True,True,False,False,True
79,No More Leaks,1,1836208,1836208.0,79.0,single,2022-10-14,day,False,4,7,70.75,77,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
80,Only Built For Infinity Links,2,7373095,3686547.5,77.5,album,2022-10-07,day,False,18,50,65.38888888888889,78,7,83,10.857142857142858,182,True,True,True,False,True,True,True,False,False,True
81,In My Head,1,26313703,26313703.0,88.0,single,2022-10-28,day,False,1,3,83.0,83,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
82,Break My Heart,1,3842626,3842626.0,77.0,single,2022-11-10,day,False,1,2,52.0,52,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
83,Kutthroat Bill: Vol. 1,1,8646421,8646421.0,81.0,album,2022-10-28,day,False,19,42,59.52631578947368,72,4,46,11.5,182,True,True,True,False,True,True,True,False,False,True
84,Stop Breathing,1,8543816,8543816.0,79.0,single,2022-09-30,day,False,1,1,78.0,78,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
85,Ain’t Safe (feat. Don Toliver),2,10414042,5207021.0,79.0,single,2022-10-28,day,False,1,2,74.0,74,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
86,Who is Nardo Wick?? (Deluxe),1,477164,477164.0,73.0,album,2022-10-14,day,False,31,68,39.74193548387097,73,12,91,5.166666666666667,183,True,True,True,False,True,True,True,False,False,True
87,Tomorrow 2 (with Cardi B),2,20704988,10352494.0,73.0,single,2022-09-23,day,False,1,3,81.0,81,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
88,Blackout,1,474354,474354.0,67.0,album,2022-10-28,day,False,10,19,50.59999999999999,65,1,32,32.0,183,True,True,True,False,True,True,True,False,False,True
89,Do It Again (feat. 2Rare),2,5314727,2657363.5,68.0,single,2022-10-07,day,False,1,3,76.0,76,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
90,Take Shots (feat. Tory Lanez),1,6847446,6847446.0,80.0,single,2022-10-21,day,False,1,4,72.0,72,1,80,80.0,182,True,True,True,False,True,True,True,False,False,True
91,Give You What You Want,1,5811284,5811284.0,79.0,single,2022-11-11,day,False,1,2,37.0,37,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
92,BET,1,4584044,4584044.0,75.0,single,2022-10-14,day,False,1,2,71.0,71,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
93,My Friends (feat. Lil Durk),3,10130514,3376838.0,77.66666666666667,single,2022-10-05,day,False,1,2,74.0,74,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
94,I Never Felt Nun,1,312212,312212.0,70.0,album,2022-09-16,day,False,21,45,51.761904761904766,74,5,86,14.0,182,True,True,True,False,True,True,True,False,False,True
95,Blow,1,3252622,3252622.0,76.0,single,2022-09-22,day,False,1,3,74.0,74,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
96,Aston Martin Truck,1,8543816,8543816.0,79.0,single,2022-10-21,day,False,1,3,76.0,76,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
97,I’m So Awesome,1,8646421,8646421.0,81.0,single,2022-09-30,day,False,3,7,58.33333333333333,70,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
98,Nothing Changed,2,7373095,3686547.5,77.5,single,2022-09-30,day,False,1,3,74.0,74,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
99,Gucci Flow,2,4585201,2292600.5,67.0,single,2022-10-14,day,False,1,2,66.0,66,0,0,0.0,168,True,True,True,False,True,True,True,False,False,True
100,Ghetto Superstar (feat. G Herbo & Doe Boy),2,8736312,4368156.0,69.5,single,2022-09-08,day,False,1,4,72.0,72,1,72,72.0,182,True,True,True,False,True,True,True,False,False,True
101,It's Not Me It's You (Deluxe),1,838880,838880.0,66.0,album,2022-10-07,day,False,16,32,40.1875,70,8,83,7.625,183,True,True,True,False,True,True,True,False,False,True
102,Bye Bye,2,60807822,30403911.0,85.0,single,2022-10-14,day,False,1,1,84.0,84,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
103,Survivor’s Remorse: A Side,1,1650594,1650594.0,72.0,album,2022-10-07,day,False,12,28,51.33333333333333,68,7,86,11.857142857142858,182,True,True,True,False,True,True,True,False,False,True
104,B.R.O. (Better Ride Out) [feat. Roddy Ricch],2,15391262,7695631.0,79.5,single,2022-10-07,day,False,1,2,74.0,74,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
105,Back End,1,60776,60776.0,58.0,single,2022-10-07,day,False,1,2,67.0,67,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
106,Ballin,1,6847446,6847446.0,80.0,single,2022-11-03,day,False,1,2,70.0,70,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
107,Bag Talk,1,8561756,8561756.0,82.0,single,2022-10-28,day,False,1,2,74.0,74,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
108,777,1,905875,905875.0,71.0,album,2022-03-25,day,False,13,25,46.92307692307691,69,6,91,13.5,183,True,True,True,False,True,True,True,False,False,True
109,Walk/Spin,1,8646421,8646421.0,81.0,single,2022-09-16,day,False,2,4,69.0,75,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
110,2 Mins of Pain (feat. Alborosie),1,1137137,1137137.0,76.0,single,2022-09-07,day,False,1,2,72.0,72,1,60,60.0,183,True,True,True,False,True,True,True,False,False,True
111,CODE (feat. Moneybagg Yo),2,5746554,2873277.0,76.5,single,2022-08-26,day,False,1,3,73.0,73,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
112,Too Much (feat. Moneybagg Yo),2,4321525,2160762.5,72.5,single,2022-09-02,day,False,1,3,68.0,68,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
113,Can't Stop Won't Stop (feat. Kodak Black),1,84348,84348.0,56.0,single,2022-07-22,day,False,1,2,71.0,71,1,81,81.0,183,True,True,True,False,True,True,True,False,False,True
114,No Pressure (Pt. 2),1,110874,110874.0,57.0,album,2022-09-23,day,False,10,20,40.5,61,7,71,7.857142857142857,182,True,True,True,False,True,True,True,False,False,True
115,Queen Radio: Volume 1,1,26480306,26480306.0,85.0,album,2022-08-26,day,False,28,92,32.42857142857142,81,15,96,4.133333333333334,182,True,True,True,False,True,True,True,False,False,True
116,Poland,1,8455678,8455678.0,77.0,single,2022-10-11,day,False,1,1,85.0,85,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
117,The Melodic Blue (Deluxe),1,1153070,1153070.0,79.0,album,2022-10-28,day,False,26,66,58.1153846153846,73,8,87,10.5,183,True,True,True,False,True,True,True,False,False,True
118,90 Proof (with J. Cole),2,18985836,9492918.0,77.5,single,2022-09-30,day,False,1,3,73.0,73,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
119,BILLIE EILISH.,1,186630,186630.0,70.0,single,2022-05-19,day,False,1,1,87.0,87,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
120,The Eminem Show,1,61300484,61300484.0,90.0,album,2002-05-26,day,False,20,67,61.04999999999999,88,6,78,7.166666666666667,183,True,True,True,False,True,True,True,False,False,True
121,"Body Head Bangerz, Vol. 1",1,1639209,1639209.0,0.0,compilation,2004-10-26,day,False,16,56,33.3125,73,45,63,1.2444444444444445,175,True,True,True,False,True,True,True,False,False,True
122,The Definition Of X: Pick Of The Litter,1,3811141,3811141.0,69.0,compilation,2007-06-12,day,False,20,69,26.9,73,6,82,7.5,183,True,True,True,False,True,True,True,False,False,True
123,Infest,1,4493271,4493271.0,70.0,album,2001-04-25,day,False,13,46,45.84615384615384,79,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
124,Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course,2,29741870,14870935.0,82.0,single,2004-11-30,day,False,6,16,37.66666666666666,77,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
125,CREED: Original Motion Picture Soundtrack,1,1639209,1639209.0,0.0,compilation,2015-11-20,day,False,18,61,27.333333333333336,64,31,86,1.870967741935484,167,True,True,True,False,False,True,False,False,False,True
126,Jungle (Remix),2,2817951,1408975.5,61.5,single,2014-01-01,day,False,1,3,56.0,56,1,82,82.0,180,True,True,True,False,True,True,True,False,False,True
127,Victory,1,8619175,8619175.0,78.0,album,2010-03-02,day,False,12,40,24.33333333333333,68,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
128,Black Snow,1,98173,98173.0,44.0,album,2008-06-24,day,False,21,63,19.33333333333333,45,44,48,0.4090909090909091,179,True,True,True,False,True,True,True,False,False,True
129,Radioactive,1,43128401,43128401.0,87.0,single,2014-01-01,day,False,1,4,65.0,65,1,87,87.0,180,True,True,True,False,True,True,True,False,False,True
130,The Heist,3,4550033,1516677.6666666667,73.0,album,2012-10-09,day,False,15,56,41.66666666666667,81,12,72,3.0,180,True,True,True,False,True,True,True,False,False,True
131,ASTROWORLD,1,21300870,21300870.0,87.0,album,2018-08-03,day,False,17,51,71.0,81,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
132,Heartless,1,52111786,52111786.0,93.0,single,2019-11-27,day,False,1,3,2.0,2,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
133,Immortal,1,11964059,11964059.0,91.0,single,2019-10-31,day,False,1,4,73.0,73,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
134,The Best In The World Pack,1,68545753,68545753.0,96.0,single,2019-06-15,day,False,2,6,66.0,77,1,76,76.0,178,True,True,True,False,True,True,True,False,False,True
135,Culture II,1,12681863,12681863.0,77.0,album,2018-01-26,day,False,24,95,55.37500000000001,77,10,96,7.5,182,True,True,True,False,True,True,True,False,False,True
136,FUTURE,1,12400949,12400949.0,86.0,album,2017-06-30,day,False,20,65,50.94999999999999,82,3,96,24.666666666666668,171,True,True,True,False,True,True,False,False,False,True
137,TESTING,1,11475745,11475745.0,80.0,album,2018-05-25,day,False,15,46,57.99999999999999,81,9,82,9.11111111111111,183,True,True,True,False,True,True,True,False,False,True
138,Pick It Up (feat. A$AP Rocky),2,13878004,6939002.0,69.5,single,2017-10-20,day,False,1,3,64.0,64,0,0,0.0,169,True,True,True,False,True,True,False,False,False,True
139,Still Striving,1,3390534,3390534.0,70.0,album,2017-08-18,day,False,14,41,45.0,73,19,82,4.315789473684211,183,True,True,True,False,True,True,True,False,False,True
140,Birds In The Trap Sing McKnight,1,21300870,21300870.0,87.0,album,2016-09-16,day,False,14,47,63.5,83,1,82,82.0,171,True,True,True,False,True,True,False,False,False,True
141,Blueberry Faygo,1,4827395,4827395.0,70.0,single,2020-02-07,day,False,1,2,72.0,72,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
142,Heaven Or Hell,1,2341718,2341718.0,77.0,album,2020-03-13,day,False,12,30,61.333333333333336,79,5,87,12.8,183,True,True,True,False,True,True,True,False,False,True
143,HIGHEST IN THE ROOM,1,21300870,21300870.0,87.0,single,2019-10-04,day,False,1,2,81.0,81,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
144,THE SCOTTS,3,27605352,9201784.0,75.0,single,2020-04-24,day,False,1,2,76.0,76,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
145,Taste (feat. Offset),1,6681608,6681608.0,78.0,single,2018-05-16,day,False,1,3,72.0,72,1,77,77.0,183,True,True,True,False,True,True,True,False,False,True
146,Hollywood's Bleeding,1,38671957,38671957.0,87.0,album,2019-09-06,day,False,17,42,0.0,0,10,89,8.2,0,False,False,False,False,False,False,False,False,False,False
147,Baby On Baby,1,10223329,10223329.0,81.0,album,2019-03-01,day,False,13,25,49.38461538461539,71,4,77,16.5,181,True,True,True,False,True,True,True,False,False,True
148,Look At Me!,1,38813613,38813613.0,86.0,single,2017-02-20,day,False,1,2,81.0,81,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
149,Bandit (with YoungBoy Never Broke Again),2,36186796,18093398.0,85.5,single,2019-10-04,day,False,1,3,74.0,74,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
150,Without Warning,3,17551898,5850632.666666666,82.33333333333333,album,2017-10-30,day,False,10,28,63.400000000000006,81,2,87,40.0,171,True,True,True,False,True,True,False,False,False,True
151,Culture,1,12681863,12681863.0,77.0,album,2017-04-07,day,False,13,52,1.8461538461538465,8,5,87,17.4,0,False,False,False,False,False,False,False,False,False,False
152,Mr. Davis,1,4524425,4524425.0,76.0,album,2017-10-13,day,False,17,53,43.88235294117647,70,13,93,1.7692307692307692,169,True,True,True,False,True,True,False,False,False,True
153,Perfect Ten,1,1006368,1006368.0,72.0,album,2019-06-28,day,False,10,28,55.4,78,19,86,3.421052631578948,178,True,True,True,False,True,True,True,False,False,True
154,Music To Be Murdered By,1,61300484,61300484.0,90.0,album,2020-01-17,day,False,20,53,55.8,82,15,89,3.1333333333333333,178,True,True,True,False,True,True,True,False,False,True
155,Straight Outta Compton,1,4521551,4521551.0,64.0,album,1988-08-08,day,False,13,53,52.07692307692307,71,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
156,Dark Lane Demo Tapes,1,68545753,68545753.0,96.0,album,2020-05-01,day,False,14,43,64.57142857142857,82,8,87,5.375,183,True,True,True,False,True,True,True,False,False,True
157,Meet The Woo,1,11395292,11395292.0,82.0,album,2019-07-26,day,False,9,24,63.55555555555556,82,0,0,0.0,182,True,True,True,False,True,True,True,False,False,True
158,JACKBOYS,2,21801465,10900732.5,75.5,album,2019-12-27,day,False,7,19,66.57142857142857,76,9,89,9.11111111111111,183,True,True,True,False,True,True,True,False,False,True
159,Walk Em Down (feat. Roddy Ricch),2,13827021,6913510.5,77.5,single,2020-03-19,day,False,1,2,69.0,69,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
160,BLAME IT ON BABY,1,10223329,10223329.0,81.0,album,2020-04-17,day,False,13,27,52.15384615384615,79,9,86,8.777777777777779,183,True,True,True,False,True,True,True,False,False,True
161,Please Excuse Me for Being Antisocial,1,8543816,8543816.0,79.0,album,2019-12-06,day,False,16,35,54.9375,80,6,83,13.333333333333334,183,True,True,True,False,True,True,True,False,False,True
162,We Love You Tecca,1,5553751,5553751.0,76.0,album,2019-08-30,day,False,18,32,60.05555555555557,79,1,88,88.0,178,True,True,True,False,True,True,True,False,False,True
163,Scary Hours,1,68545753,68545753.0,96.0,single,2018-01-20,day,False,2,7,0.0,0,0,0,0.0,0,False,False,False,False,False,False,False,False,False,False
