,album_name,number_of_artists,artist_followers_total,artist_followers_average,artist_popularity,type,release_date,release_precision,restrictions,total_tracks,total_length_min,avg_popularity,max_popularity,number_of_collabs,Max_popularity_collab,Avg_popularity_collab,number_of_markets,US_market,CA_market,BR_market,CN_market,DE_market,ES_market,SA_market,UK_market,RU_market,MX_markets
235,Victory Lap,1,2934852,2934852.0,65.0,album,2018-02-16,day,False,16,59,53.25,66,13,87,4.307692307692308,183,True,True,True,False,True,True,True,False,False,True
236,Drip or Drown 2,1,4684453,4684453.0,83.0,album,2019-02-22,day,False,16,42,52.8125,67,3,89,27.0,183,True,True,True,False,True,True,True,False,False,True
237,D.M.B.,1,11475745,11475745.0,80.0,single,2022-05-05,day,False,1,4,66.0,66,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
238,Eazy,2,22868985,11434492.5,81.0,single,2022-01-15,day,False,1,3,64.0,64,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
239,King's Disease,1,3023692,3023692.0,71.0,album,2020-08-21,day,False,13,31,43.07692307692307,55,13,81,5.384615384615385,183,True,True,True,False,True,True,True,False,False,True
240,Hollandaise,1,953438,953438.0,57.0,single,2022-04-22,day,False,1,2,50.0,50,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
241,Blonde,1,10176813,10176813.0,82.0,album,2016-08-20,day,False,17,55,68.41176470588236,84,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
242,KIDS SEE GHOSTS,3,25632521,8544173.666666666,76.66666666666667,album,2018-06-08,day,False,7,21,62.57142857142857,70,4,80,12.25,183,True,True,True,False,True,True,True,False,False,True
243,LONG.LIVE.A$AP (Deluxe Version),1,11475745,11475745.0,80.0,album,2013-01-11,day,False,16,54,0.0,0,18,96,3.0,0,False,False,False,False,False,False,False,False,False,False
244,Walkin,1,1973893,1973893.0,71.0,single,2022-01-24,day,False,1,4,58.0,58,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
245,Johnny P's Caddy,2,18552058,9276029.0,73.0,single,2022-01-28,day,False,1,3,62.0,62,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
246,It's Dark And Hell Is Hot,1,3811141,3811141.0,69.0,album,1998-05-01,day,False,19,57,43.31578947368422,69,7,63,9.0,183,True,True,True,False,True,True,True,False,False,True
247,Life of a DON,1,2341718,2341718.0,77.0,album,2021-10-08,day,False,16,44,58.75,67,6,87,14.5,183,True,True,True,False,True,True,True,False,False,True
248,ATLiens,1,2074000,2074000.0,73.0,album,1996-08-27,day,False,15,50,46.6,69,1,20,20.0,183,True,True,True,False,True,True,True,False,False,True
249,Headshots (4r Da Locals),1,1204347,1204347.0,66.0,single,2021-06-18,day,False,1,3,55.0,55,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
250,The Blueprint (Explicit Version),1,7728824,7728824.0,82.0,album,2001-09-11,day,False,15,56,49.86666666666666,62,1,90,90.0,169,True,True,True,False,True,True,False,False,False,True
251,From a Birds Eye View,1,1823835,1823835.0,66.0,album,2022-01-14,day,False,14,34,47.78571428571429,65,9,90,5.555555555555555,183,True,True,True,False,True,True,True,False,False,True
252,Street Gossip,1,12028254,12028254.0,89.0,album,2018-11-30,day,False,13,35,58.46153846153845,80,9,83,6.666666666666667,181,True,True,True,False,True,True,True,False,False,True
253,?,1,38813613,38813613.0,86.0,album,2018-03-16,day,False,18,27,67.66666666666664,84,7,73,6.571428571428571,181,True,True,True,False,True,True,True,False,False,True
254,Redemption,1,1313991,1313991.0,70.0,album,2018-06-15,day,False,15,43,48.26666666666667,70,8,87,3.875,178,True,True,True,False,True,True,True,False,False,True
255,Kamikaze,1,61300484,61300484.0,90.0,album,2018-08-31,day,False,13,39,60.76923076923077,74,5,69,13.6,182,True,True,True,False,True,True,True,False,False,True
256,Malibu,1,2249447,2249447.0,77.0,album,2016-01-15,day,False,16,51,42.875,56,6,72,4.5,53,False,False,False,False,True,True,False,False,False,False
257,The Melodic Blue,1,1153070,1153070.0,79.0,album,2021-09-22,day,False,19,53,56.47368421052632,76,5,87,16.0,183,True,True,True,False,True,True,True,False,False,True
258,Project E.T.,1,12400949,12400949.0,86.0,compilation,2016-10-13,day,False,16,47,39.9375,65,11,96,2.0,183,True,True,True,False,True,True,True,False,False,True
259,"good kid, m.A.A.d city (Deluxe)",1,21895466,21895466.0,87.0,album,2012-10-22,day,False,17,86,57.58823529411766,74,9,96,7.0,180,False,False,True,False,True,True,True,False,False,True
260,Me Against The World,1,13873094,13873094.0,78.0,album,1995-03-14,day,False,15,58,52.8,71,3,50,14.666666666666666,169,True,True,True,False,True,True,False,False,False,True
261,Regulate… G Funk Era,1,2027341,2027341.0,61.0,album,1994-06-07,day,False,18,55,37.22222222222222,74,16,75,1.375,82,True,True,True,False,True,True,False,False,False,True
262,At What Cost,1,813709,813709.0,65.0,album,2017-03-24,day,False,14,41,43.28571428571429,76,13,84,6.461538461538462,183,True,True,True,False,True,True,True,False,False,True
263,So Much Fun,1,7586076,7586076.0,82.0,album,2019-08-16,day,False,19,53,51.210526315789465,70,16,91,5.4375,183,True,True,True,False,True,True,True,False,False,True
264,Something Else,1,2555233,2555233.0,68.0,album,2013-07-30,day,False,21,55,26.61904761904762,57,24,87,2.958333333333333,181,True,True,True,False,False,True,True,False,False,True
265,Donda,1,18613723,18613723.0,90.0,album,2021-08-29,day,False,27,95,61.22222222222221,78,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
266,Otherside Of America,1,6637379,6637379.0,74.0,single,2020-06-05,day,False,1,3,52.0,52,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
267,family ties (with Kendrick Lamar),2,23048536,11524268.0,83.0,single,2021-08-27,day,False,1,4,78.0,78,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
268,Meet The Woo 2,1,11395292,11395292.0,82.0,album,2020-02-07,day,False,13,28,63.84615384615385,79,5,80,15.8,178,True,True,True,False,True,True,True,False,False,True
269,Keep Their Heads Ringin',1,8281199,8281199.0,78.0,single,1995-03-07,day,False,4,17,39.25,65,2,55,27.5,181,False,False,True,False,True,True,True,False,False,True
270,Operation Stackola,1,270460,270460.0,57.0,album,1995-07-04,day,False,16,62,26.875,74,8,57,1.375,182,True,False,True,False,True,True,True,False,False,True
271,High Off Life,1,12400949,12400949.0,86.0,album,2020-05-15,day,False,21,60,53.33333333333334,72,11,96,8.090909090909092,183,True,True,True,False,True,True,True,False,False,True
272,The Circus,1,555567,555567.0,59.0,album,2020-01-10,day,False,7,17,37.285714285714285,56,1,64,64.0,183,True,True,True,False,True,True,True,False,False,True
273,GINGER,1,2027212,2027212.0,67.0,album,2019-08-23,day,False,12,38,51.5,72,0,0,0.0,183,True,True,True,False,True,True,True,False,False,True
